"","Genotype","whole_height(ck)","whole_height(salt)","whole_height(salt/ck)","whole_weight(ck)","whole_weight(salt)","whole_weight(salt/ck)","shoot_height(ck)","shoot_height(salt)","shoot_height(salt/ck)","shoot_weight(ck)","shoot_weight(salt)","shoot_weight(salt/ck)","root_length(ck)","root_length(salt)","root_length(salt/ck)","root_weight(ck)","root_weight(salt)","root_weight(salt/ck)","shoot_ABA(ck)","shoot_ABA(salt)","shoot_ABA(salt/ck)","root_ABA(ck)","root_ABA(salt)","root_ABA(salt/ck)","shoot_SA(ck)","shoot_SA(salt)","shoot_SA(salt/ck)","root_SA(ck)","root_SA(salt)","root_SA(salt/ck)","shoot_ACC(ck)","shoot_ACC(salt)","shoot_ACC(salt/ck)","root_ACC(ck)","root_ACC(salt)","root_ACC(salt/ck)","shoot_JA(ck)","shoot_JA(salt)","shoot_JA(salt/ck)","root_JA(ck)","root_JA(salt)","root_JA(salt/ck)","shoot_JA-ILE(ck)","shoot_JA-ILE(salt)","shoot_JA-ILE(salt/ck)","root_JA-ILE(ck)","root_JA-ILE(salt)","root_JA-ILE(salt/ck)","shoot_OPDA(ck)","shoot_OPDA(salt)","shoot_OPDA(salt/ck)","root_OPDA(ck)","root_OPDA(salt)","root_OPDA(salt/ck)","shoot_tz(ck)","shoot_tz(salt)","shoot_tz(salt/ck)","root_tz(ck)","root_tz(salt)","root_tz(salt/ck)","shoot_tzr(ck)","shoot_tzr(salt)","shoot_tzr(salt/ck)","root_tzr(ck)","root_tzr(salt)","root_tzr(salt/ck)","shoot_Na(ck)","shoot_Na(salt)","shoot_Na(salt/ck)","shoot_K(ck)","shoot_K(salt)","shoot_K(salt/ck)"
"49","BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"50","BS16","55.625","36.25","0.651685393","2.1475","1.1275","0.525029104","26.875","19.66666667","0.731782946","1.26","0.52","0.412698413","28.75","17.75","0.617391304","0.885","0.6975","0.788135593","3.71078806426932","7.8125",2.10534793814433,"24.8565279770445","8.34542815674891",0.335743920649581,"20.8110175975516","23.4375",1.12620634191177,"11.4060258249641","17.5253991291727",1.53650354629351,"240.053557765876","562.122844827586",2.34165596235747,"226.255380200861","116.11030478955",0.513182513876451,"37.681713848508","15.0323275862069",0.398928977769999,"142.431850789096","54.100145137881",0.379831792103783,"1.30068859984698","2.31681034482759",1.78121830628803,"43.3285509325682","34.7968069666183",0.80309186939513,"9.64039785768936","0.276082543103448",0.0286380860187466,"0.0717360114777618","15.021770682148",209.403483309143,"0.956388676358072","1.83189655172414",1.91543103448276,"1.82926829268293","3.4833091436865",1.90420899854862,"4.32287681713849","20.9051724137931",4.83593988404027,"42.7905308464849","69.1944847605225",1.61705132868681,"0.196253345227475","5.68830242510699","0.0345012150481404","36.1596788581624","29.1012838801712","0.804799290234905"
"51","BT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"52","BY4839","41.875","37.325","0.891343284","1.695","1.54","0.908554572","21.1","19.925","0.944312796","0.95","0.98","1.031578947","17.425","17.3","0.992826399","0.5675","0.915","1.612334802","NA","18.9133986928105",NA,"3.36170212765957","0.934579439252337",0.27800780787886,"NA","2.53267973856209",NA,"5.57446808510638","4.04984423676013",0.726498775296665,"NA","389.583333333333",NA,"311.106382978723","209.890965732087",0.674659785898516,"NA","0.571895424836601",NA,"40.6382978723404","2.1417445482866",0.0527026145389897,"NA","0.535504861111111",NA,"20","18.2242990654206",0.91121495327103,"NA","1.94712099673203",NA,"1.76047514893617","8.851246105919",5.02775975637468,"NA","0.735294117647059",NA,"1.36170212765957","1.40186915887851",1.02949766355141,"NA","3.75816993464052",NA,"44.6382978723404","11.0981308411215",0.248623522179557,"NA","8.62068965517241","NA","38.5014836795252","34.0216519647153","0.883645218659658"
"53","BY4944","48.625","35.33333333","0.726649529","1.9425","1.625","0.836550837","23.5","20.66666667","0.879432624","0.855","0.665","0.777777778","25.125","20.5","0.815920398","1.08","0.9425","0.872685185","NA","2.89017341040462",NA,"7.16318785578748","2.55443886097152",0.356606431717084,"NA","6.5028901734104",NA,"13.5673624288425","25.7537688442211",1.89821485047616,"NA","20.8574181117534",NA,"1484.01328273245","1024.9162479062",0.690638190258692,"NA","2.45664739884393",NA,"63.1878557874763","23.6599664991625",0.37443850886062,"NA","2.69749518304432",NA,"62.8083491461101","39.8659966499162",0.634724478383862,"NA","0.0963391136801542",NA,"0.142314990512334","11.6834170854271",82.0954773869344,"NA","0.433526011560694",NA,"1.13851992409867","2.34505862646566",2.05974316024567,"NA","0.0963391136801542",NA,"35.1043643263757","41.9179229480737",1.19409434560188,"0.547054322876817","1.50309917355372","0.363950917212892","54.7972456006121","4.58419421487603","0.0836573839548027"
"54","BY4960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.10748155953635","0.106723585912487",0.0506403415154752,"16.3173652694611","7.01284796573876",0.429778205606742,"7.06006322444679","79.9529882604056",11.3246844565858,"49.0269461077844","49.6252676659529",1.01220393285058,"240.674394099052","452.5613660619",1.88038851310308,"945.658682634731","1193.73661670236",1.262333481015,"7.42887249736565","0.213447171824973",0.0287321086612623,"877.544910179641","220.074946466809",0.250784824701174,"7.32349841938883","0.557657950907151",0.0761463878289045,"205.913173652695","73.8758029978587",0.358771620520316,"0.733610642781876","0.106723585912487",0.14547715053286,"38.4730538922156","31.6381156316917",0.822344795407394,"1.15911485774499","1.06723585912487",0.920733482099551,"8.83233532934132","6.47751605995717",0.733386564076507,"7.37618545837724","6.0298826040555",0.81747979874981,"156.287425149701","49.1434689507495",0.314442885623569,"NA","3.68852459016393","NA","NA","8.98907103825137","NA"
"55","BY804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"56","BY807","53.75","29.625","0.551162791","1.815","1.5325","0.844352617","26","26.66666667","1.025641026","1","0.7875","0.7875","27.75","22.25","0.801801802","0.825","0.705","0.854545455","9.61376994122586","2.68924302788845",0.279728248577742,"14.311377245509","8.63564668769716",0.603411295751223,"81.7380352644836","13.5458167330677",0.165722318737377,"39.8802395209581","52.602523659306",1.31901222989551,"1292.82115869018","464.143426294821",0.359015957601643,"1496.10778443114","950.552050473186",0.63534997970391,"65.9109991603694","2.88844621513944",0.0438234323851092,"97.0059880239521","168.493690851735",1.73694113408887,"7.76658270361041","0.099601593625498",0.0128243781630236,"52.2754491017964","40.8517350157729",0.781470761470112,"0.587741393786734","0.199203187250996",0.33892999430848,"0.119760479041916","2.32649842271293",19.426261829653,"1.38539042821159","1.54382470119522",1.11436073886273,"1.8562874251497","3.54889589905363",1.91182456497405,"2.18303946263644","3.83466135458167",1.75656987434876,"34.4311377245509","14.7476340694006",0.428322589493896,"NA","21.3535589264878","NA","NA","40.4609101516919","NA"
"57","BY809","23.375","29","1.240641711","0.92","0.886666667","0.963768116","12.5","12.66666667","1.013333333","0.336666667","0.326666667","0.97029703","13.83333333","10.66666667","0.771084337","0.58","0.553333333","0.954022989","7.96344647519582","2.6266416510319",0.329837295850891,"10.3004291845494","1",0.0970833333333329,"62.4020887728459","4.54971857410882",0.0729097160620786,"52.5751072961373","2.13636363636364",0.0406345083487942,"186.161879895561","347.842401500938",1.86849424649172,"309.871244635193","521.181818181818",1.68193024427096,"32.6370757180157","0.0938086303939963",0.00287429643527204,"387.285407725322","0.909090909090909",0.00234734098150084,"8.52915578764143","1.07661861580154",0.126228039750609,"122.478540772532","3.5",0.0285764345159878,"28.5465622280244","0.361163227016886",0.0126517240195854,"0.590128755364807","1.40909090909091",2.38776859504132,"1.34899912967798","2.25140712945591",1.66894631725474,"1.82403433476395","0.818181818181818",0.44855614973262,"4.35161009573542","9.00562851782364",2.06949343339587,"34.7103004291845","21.8181818181818",0.628579457636645,"0.796579657965797","23.3375959079284","0.0341328927413289","39.1584158415842","31.8414322250639","0.813144034066106"
"58","BY813","50.075","45.525","0.909136296","2.205","1.74","0.789115646","28.375","22.5","0.792951542","1.3175","0.9375","0.711574953","20.775","17.4","0.837545126","0.745","0.56","0.751677852","1.1913357400722","NA",NA,"58.8477366255144","73.0487804878049",1.2413184376599,"2.63537906137184","NA",NA,"13.4567901234568","30.9146341463415",2.29732602371895,"368.953068592058","NA",NA,"732.83950617284","1174.69512195122",1.60293640293209,"6.53429602888087","NA",NA,"118.971193415638","323.658536585366",2.72047818714091,"0.598658592057762","NA",NA,"90.164609053498","33.719512195122",0.373977246162238,"57.1119133574007","NA",NA,"0.460216392318244","10.1829268292683",22.1263888015243,"1.29963898916967","NA",NA,"4.89711934156379","7.25609756097561",1.48170731707317,"7.76173285198556","NA",NA,"95.1851851851852","163.658536585366",1.71936983961279,"NA","NA","NA","46.6797642436149","NA","NA"
