"Genotype","whole_height(ck)","whole_height(salt)","whole_height(salt/ck)","whole_weight(ck)","whole_weight(salt)","whole_weight(salt/ck)","shoot_height(ck)","shoot_height(salt)","shoot_height(salt/ck)","shoot_weight(ck)","shoot_weight(salt)","shoot_weight(salt/ck)","root_length(ck)","root_length(salt)","root_length(salt/ck)","root_weight(ck)","root_weight(salt)","root_weight(salt/ck)","shoot_ABA(ck)","shoot_ABA(salt)","shoot_ABA(salt/ck)","root_ABA(ck)","root_ABA(salt)","root_ABA(salt/ck)","shoot_SA(ck)","shoot_SA(salt)","shoot_SA(salt/ck)","root_SA(ck)","root_SA(salt)","root_SA(salt/ck)","shoot_ACC(ck)","shoot_ACC(salt)","shoot_ACC(salt/ck)","root_ACC(ck)","root_ACC(salt)","root_ACC(salt/ck)","shoot_JA(ck)","shoot_JA(salt)","shoot_JA(salt/ck)","root_JA(ck)","root_JA(salt)","root_JA(salt/ck)","shoot_JA-ILE(ck)","shoot_JA-ILE(salt)","shoot_JA-ILE(salt/ck)","root_JA-ILE(ck)","root_JA-ILE(salt)","root_JA-ILE(salt/ck)","shoot_OPDA(ck)","shoot_OPDA(salt)","shoot_OPDA(salt/ck)","root_OPDA(ck)","root_OPDA(salt)","root_OPDA(salt/ck)","shoot_tz(ck)","shoot_tz(salt)","shoot_tz(salt/ck)","root_tz(ck)","root_tz(salt)","root_tz(salt/ck)","shoot_tzr(ck)","shoot_tzr(salt)","shoot_tzr(salt/ck)","root_tzr(ck)","root_tzr(salt)","root_tzr(salt/ck)","shoot_Na(ck)","shoot_Na(salt)","shoot_Na(salt/ck)","shoot_K(ck)","shoot_K(salt)","shoot_K(salt/ck)"
"04K5672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"04K5686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"04K5702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"CML431","39.16666667","33.83333333","0.863829787","1.236666667","0.846666667","0.684636119","18.86666667","16.33333333","0.865724382","0.663333333","0.48","0.72361809","20.53333333","19.33333333","0.941558442","0.573333333","0.366666667","0.639534884","0.482509047044632","1.39198218262806",-0.453826712756837,"5.66483084185681","1.35690789473684",0.175986015162283,"5.36791314837153","1.33630289532294",0.172518448759831,"117.26986624705","4.97532894736842",0.336761245712487,"35.4644149577805","212.806236080178",1.50212618783309,"524.429583005508","180.057565789474",0.829290732165303,"3.98069963811822","1.78173719376392",0.418101028317475,"62.8245476003147","5.87993421052632",0.427873811381204,"2.47285886610374","1.57015280871072",0.498327197432543,"12.4704956726987","14.8026315789474",1.06794079798777,"1.0530773522316","3.56904231625835",24.6012905450259,"0.0393391030684501","9.62171052631579",-0.699736263882371,"0.361881785283474","0.334075723830735",1.0786569749453,"1.573564122738","0.452302631578947",-1.75011736071891,"5.54885404101327","6.79287305122494",1.11804596550246,"68.2140047206924","82.8125",1.04592593029986,"0.650887573964497","9.52626158599382","0.0683256037102191","54.2800788954635","36.9721936148301","0.681137433238331"
"CML432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"CML433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"CML451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"CML454","51.06666667","57.23333333","1.12075718","1.795","2.22","1.236768802","26.1","25.65","0.982758621","1.0225","1.133333333","1.108394458","28.95","30.93333333","1.068508923","0.81","1.07","1.320987654","1.95783132530121","0.0580046403712297",-4.23797825303713,"2.14094558429973","2.15097402597403",1.00613884584238,"5.77309236947791","NA",NA,"8.11775200713648","4.46428571428571",0.714456145393259,"149.397590361446","274.477958236659",1.12149132389079,"577.520071364853","522.970779220779",0.984396664043708,"5.92369477911647","0.406032482598608",-0.506656657568069,"12.7564674397859","4.50487012987013",0.591176891393823,"6.52610441767068","0.793609222737819",-0.123234270660852,"45.628902765388","18.75",0.767219481531028,"1.10441767068273","0.0924207656612529",-23.9775142941843,"0.205173951828724","2.02922077922078",-0.446778935602172,"1.00401606425703","0.928074245939675",-18.6235390463654,"1.6057091882248","1.58279220779221",0.969645143668575,"7.07831325301205","4.00232018561485",0.70866069696202,"22.7921498661909","37.5811688311688",1.1599553277041,"1.002722323049","13.961038961039","0.0718229012788584","47.7858439201452","35.4145854145854","0.741110389800097"
"CML465","25.16666667","42.75","1.698675497","0.546666667","0.9325","1.705792683","8.533333333","12.5","1.46484375","0.236666667","0.3625","1.531690141","16.66666667","16.875","1.0125","0.306666667","0.575","1.875","9.77683315621679","23.0678233438486",1.37649877719325,"33.1623931623932","NA",NA,"4.30393198724761","16.1671924290221",1.90676854725845,"17.5641025641026","NA",NA,"190.063761955367","314.668769716088",1.09607897947053,"435.982905982906","NA",NA,"8.34218916046759","61.8296529968454",1.94424794238481,"84.5299145299145","NA",NA,"0.371944739638682","3.90378548895899",-1.37708085972986,"21.0683760683761","NA",NA,"10.9458023379384","76.0252365930599",1.80992265754974,"0.0427350427350427","NA",NA,"0.425079702444208","2.01104100946372",-0.816680287851572,"1.4957264957265","NA",NA,"4.83528161530287","5.08675078864353",1.03217122645849,"30.4700854700855","NA",NA,"0.546654099905749","13.2969798657718","0.0411111474503251","46.4985862393968","59.6057046979866","1.28188208542746"
"CML470","45","59.66666667","1.325925926","1.233333333","2.265","1.836486486","20.83333333","23","1.104","0.676666667","0.94","1.389162562","24","24.75","1.03125","0.656666667","1.2675","1.930203046","2.71691498685364","11.1764705882353",2.41502538779734,"18.3153770812929","4.8264182895851",0.541349675201413,"5.12708150744961","11.8137254901961",1.51068018128053,"46.1312438785504","37.1718882303133",0.943641337196426,"4.73269062226118","125.441176470588",3.10830231570122,"237.610186092067","252.116850127011",1.0108326093898,"10.692375109553","11.8627450980392",1.04383650168323,"175.612144955926","49.3649449618967",0.754456450635292,"1.57756354075372","15.5882352941177",6.02462682842247,"50.9304603330069","37.3412362404742",0.921036509458977,"0.483712532865907","0.1812675",2.35145937033615,"1.17531831537708","42.887383573243",23.2673056271802,"0.482033304119194","1.12745098039216",-0.1643859107782,"0.979431929480901","4.57239627434378",-73.1401203195066,"2.76073619631902","7.99019607843137",2.04649990918771,"28.4524975514202","27.3497036409822",0.988193708041548,"NA","17.6513671875","NA","38.1753355704698","51.611328125","1.3519547989232"
"CML471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"CML473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"CML474","60.3","35.33333333","0.585959093","2.1775","2.406666667","1.105243016","30.025","27.66666667","0.921454344","1.21","1.36","1.123966942","29.325","26.66666667","0.909349247","0.8975","1.11","1.236768802","0.816326530612245","0.107181136120043",11.0043644782303,"4.08961593172119","0.0785545954438335",-1.806212144853,"1.58163265306122","8.97320471596999",4.78614096408264,"15.6116642958748","1.33542812254517",0.105258369870044,"197.959183673469","655.091103965702",1.22630477973777,"572.226173541963","573.802042419482",1.00043312491079,"1.12244897959184","0.107181136120043",-19.3332109559651,"43.1009957325747","1.06048703849175",0.0156045047196192,"0.306122448979592","0.0214362272240086",3.24613110012191,"18.6699857752489","3.33857030636292",0.411881369638023,"0.17243125","0.107181136120043",1.27050293682406,"0.778805120910384","0.420267085624509",3.46753666169788,"0.306122448979592","2.41157556270096",-0.743624371468527,"3.20056899004267","2.23880597014925",0.692790216245224,"4.08163265306122","7.98499464094319",1.47711940333754,"22.5462304409673","38.8059701492537",1.17428803888478,"0.330848089468779","4.73921765295888","0.0698106973969042","33.6160298229264","35.1554663991976","1.04579471711503"
